Date : 2023-08-20 22:01:20
Directory : /Users/lilaavinoth/Documents/Flutter Projects/job_portal_trial
Total : 158 files,  25295 codes, 790 comments, 1821 blanks, all 27906 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         99 |     17,469 |        529 |      1,482 |     19,480 |
| JSON       |         10 |      6,218 |         16 |          8 |      6,242 |
| C++        |         16 |        543 |        118 |        181 |        842 |
| XML        |         10 |        463 |         48 |         12 |        523 |
| HTML       |          3 |        157 |         22 |         13 |        192 |
| YAML       |          4 |        113 |          6 |         15 |        134 |
| JavaScript |          1 |        113 |         39 |         50 |        202 |
| Gradle     |          3 |         90 |          5 |         22 |        117 |
| Swift      |          6 |         76 |          7 |         20 |        103 |
| CMake      |          2 |         40 |          0 |         12 |         52 |
| Properties |          2 |          8 |          0 |          2 |         10 |
| Markdown   |          2 |          5 |          0 |          4 |          9 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                         | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                            |        158 |     25,295 |        790 |      1,821 |     27,906 |
| . (Files)                                                                                                                    |          6 |      3,129 |         18 |         15 |      3,162 |
| .github                                                                                                                      |          2 |         31 |          4 |          4 |         39 |
| .github/workflows                                                                                                            |          2 |         31 |          4 |          4 |         39 |
| android                                                                                                                      |         12 |        157 |         51 |         33 |        241 |
| android (Files)                                                                                                              |          3 |         38 |          0 |         10 |         48 |
| android/app                                                                                                                  |          8 |        114 |         51 |         22 |        187 |
| android/app (Files)                                                                                                          |          1 |         55 |          5 |         13 |         73 |
| android/app/src                                                                                                              |          7 |         59 |         46 |          9 |        114 |
| android/app/src/debug                                                                                                        |          1 |          3 |          4 |          1 |          8 |
| android/app/src/main                                                                                                         |          5 |         53 |         38 |          7 |         98 |
| android/app/src/main (Files)                                                                                                 |          1 |         27 |          6 |          1 |         34 |
| android/app/src/main/res                                                                                                     |          4 |         26 |         32 |          6 |         64 |
| android/app/src/main/res/drawable                                                                                            |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/drawable-v21                                                                                        |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/values                                                                                              |          1 |          9 |          9 |          1 |         19 |
| android/app/src/main/res/values-night                                                                                        |          1 |          9 |          9 |          1 |         19 |
| android/app/src/profile                                                                                                      |          1 |          3 |          4 |          1 |          8 |
| android/gradle                                                                                                               |          1 |          5 |          0 |          1 |          6 |
| android/gradle/wrapper                                                                                                       |          1 |          5 |          0 |          1 |          6 |
| functions                                                                                                                    |          3 |      3,035 |         39 |         52 |      3,126 |
| ios                                                                                                                          |          8 |        229 |          4 |         13 |        246 |
| ios/Runner                                                                                                                   |          7 |        222 |          2 |          9 |        233 |
| ios/Runner (Files)                                                                                                           |          2 |         13 |          0 |          3 |         16 |
| ios/Runner/Assets.xcassets                                                                                                   |          3 |        148 |          0 |          4 |        152 |
| ios/Runner/Assets.xcassets/AppIcon.appiconset                                                                                |          1 |        122 |          0 |          1 |        123 |
| ios/Runner/Assets.xcassets/LaunchImage.imageset                                                                              |          2 |         26 |          0 |          3 |         29 |
| ios/Runner/Base.lproj                                                                                                        |          2 |         61 |          2 |          2 |         65 |
| ios/RunnerTests                                                                                                              |          1 |          7 |          2 |          4 |         13 |
| lib                                                                                                                          |        100 |     17,472 |        529 |      1,482 |     19,483 |
| lib (Files)                                                                                                                  |          4 |        199 |         10 |         49 |        258 |
| lib/auth                                                                                                                     |         10 |        524 |         42 |         93 |        659 |
| lib/auth (Files)                                                                                                             |          2 |         84 |          0 |         20 |        104 |
| lib/auth/firebase_auth                                                                                                       |          8 |        440 |         42 |         73 |        555 |
| lib/backend                                                                                                                  |         15 |      1,498 |         82 |        274 |      1,854 |
| lib/backend (Files)                                                                                                          |          1 |        564 |          9 |         50 |        623 |
| lib/backend/firebase                                                                                                         |          1 |         17 |          1 |          2 |         20 |
| lib/backend/firebase_analytics                                                                                               |          1 |         29 |          3 |          8 |         40 |
| lib/backend/schema                                                                                                           |         12 |        888 |         69 |        214 |      1,171 |
| lib/backend/schema (Files)                                                                                                   |         10 |        712 |         51 |        186 |        949 |
| lib/backend/schema/util                                                                                                      |          2 |        176 |         18 |         28 |        222 |
| lib/billing_details                                                                                                          |          2 |        935 |          9 |         49 |        993 |
| lib/firebaseModels                                                                                                           |         15 |      1,352 |         15 |        206 |      1,573 |
| lib/flutter_flow                                                                                                             |         21 |      2,880 |         81 |        283 |      3,244 |
| lib/flutter_flow (Files)                                                                                                     |         19 |      2,287 |         54 |        225 |      2,566 |
| lib/flutter_flow/nav                                                                                                         |          2 |        593 |         27 |         58 |        678 |
| lib/forgot_password                                                                                                          |          2 |        250 |          5 |         19 |        274 |
| lib/home_page                                                                                                                |          3 |      1,346 |         73 |        116 |      1,535 |
| lib/login_page                                                                                                               |          2 |        540 |          6 |         27 |        573 |
| lib/new_job1                                                                                                                 |          2 |        559 |         22 |         34 |        615 |
| lib/new_job2                                                                                                                 |          2 |        848 |         18 |         29 |        895 |
| lib/new_job3                                                                                                                 |          2 |        493 |         18 |         28 |        539 |
| lib/new_job4                                                                                                                 |          2 |      1,355 |         35 |         35 |      1,425 |
| lib/new_job5                                                                                                                 |          2 |        350 |         13 |         28 |        391 |
| lib/new_job6                                                                                                                 |          2 |      1,185 |         32 |         31 |      1,248 |
| lib/new_job7                                                                                                                 |          2 |      1,449 |          6 |         32 |      1,487 |
| lib/pending_job                                                                                                              |          2 |        293 |         18 |         24 |        335 |
| lib/post_job                                                                                                                 |          2 |        105 |          5 |         25 |        135 |
